region,candidato,sexo,edad_grupo,poblacion_region,porcentaje_grupo,ingreso_promedio,score,sentimiento,probabilidad,ganador,indecisos
Ica,López Aliaga,M,18-25,5896810,0.0725,1195,55.06,0.64,0.6438,1,0.1655
Ayacucho,Alvarez,F,41-60,5444811,0.1576,713,67.18,0.24,0.5372,1,0.1402
Puno,Vizcarra,F,41-60,6869551,0.1366,1156,59.25,0.68,0.6305,1,0.3954
Ica,López Aliaga,F,60+,1634657,0.1612,759,68.98,0.67,0.6922,1,0.2658
Loreto,Alvarez,F,18-25,3019298,0.1358,1059,68.79,0.62,0.6991,1,0.1179
Ayacucho,López Aliaga,F,60+,4766188,0.1039,831,60.26,0.41,0.5415,1,0.3249
Piura,Fujimori,F,26-40,8668922,0.1068,1177,88.1,0.42,0.6696,1,0.2524
Piura,Fujimori,F,18-25,9411387,0.1395,1210,88.56,0.3,0.5933,1,0.4091
Huánuco,Fujimori,M,41-60,5163285,0.1055,919,72.69,0.22,0.5256,1,0.2656
La Libertad,López Aliaga,M,41-60,1512060,0.1473,719,52.05,0.75,0.6207,1,0.4466
Arequipa,López Aliaga,M,26-40,4495451,0.0504,1272,86.7,0.28,0.6366,1,0.116
Tumbes,Acuña,M,41-60,9891529,0.1119,829,62.11,0.65,0.6677,1,0.2118
Ayacucho,Vizcarra,M,26-40,4910583,0.1648,1052,86.4,0.35,0.6377,1,0.2469
Loreto,López Aliaga,F,60+,4561003,0.1741,730,58.33,0.3,0.52,1,0.174
Ica,Fujimori,F,26-40,9988616,0.1791,1222,85.48,0.5,0.681,1,0.2946
Puno,Alvarez,M,60+,5202873,0.1232,1241,78.09,0.67,0.7492,1,0.1592
Áncash,López Aliaga,M,26-40,9872371,0.1053,1060,80.22,0.25,0.5335,1,0.4438
Puno,Vizcarra,M,60+,9909409,0.0778,1103,86.74,0.51,0.6941,1,0.284
Apurímac,Alvarez,M,60+,6237131,0.1057,1222,43.7,0.52,0.5101,1,0.3589
Junín,López Aliaga,M,60+,8561418,0.0713,1292,42.98,0.37,0.4869,0,0.1657
Ayacucho,Alvarez,F,41-60,6596023,0.0998,731,73.77,0.23,0.4941,0,0.4683
Tumbes,Fujimori,F,26-40,9315174,0.108,1228,64.28,0.34,0.5436,1,0.2532
Puno,Alvarez,F,26-40,9382390,0.058,985,50.93,0.74,0.6683,1,0.1487
Apurímac,Fujimori,F,41-60,8491268,0.1257,1167,74.15,0.61,0.6689,1,0.3548
Cusco,López Aliaga,F,18-25,4294403,0.1351,886,69.35,0.29,0.5579,1,0.1842
Huancavelica,Acuña,F,18-25,7597166,0.1219,957,52.6,0.27,0.4251,0,0.4595
Huánuco,Alvarez,F,18-25,6523349,0.0921,726,76.96,0.57,0.6529,1,0.412
Callao,López Aliaga,F,41-60,4610373,0.1744,724,88.63,0.59,0.7398,1,0.2438
Áncash,Acuña,M,41-60,5865039,0.1559,703,86.98,0.56,0.7181,1,0.2631
Callao,Fujimori,M,60+,9154849,0.0797,1217,40.87,0.43,0.4718,0,0.3191
San Martín,Acuña,M,41-60,9223639,0.1363,1102,42.83,0.22,0.4259,0,0.161
Puno,Vizcarra,M,18-25,6662494,0.1292,743,70.35,0.36,0.5457,1,0.3909
Cusco,López Aliaga,M,26-40,4433448,0.0612,1244,88.82,0.65,0.7765,1,0.1858
Áncash,Acuña,F,41-60,6068308,0.064,1005,46.31,0.48,0.498,0,0.3924
Lima,Acuña,F,26-40,9788229,0.1,1063,49.65,0.29,0.4304,0,0.4168
Amazonas,Alvarez,F,41-60,6911262,0.1731,1031,65.14,0.48,0.6091,1,0.2237
Arequipa,Alvarez,M,60+,9292420,0.166,1272,61.95,0.38,0.5655,1,0.1622
Arequipa,López Aliaga,F,18-25,6600005,0.1475,1069,73.78,0.78,0.7476,1,0.3035
La Libertad,Vizcarra,M,26-40,8422663,0.0905,727,67.02,0.35,0.5396,1,0.3484
Áncash,Fujimori,M,26-40,7480276,0.1119,815,63.34,0.5,0.5887,1,0.3143
Ica,Acuña,F,41-60,8972879,0.156,1290,51.53,0.23,0.4215,0,0.3813
Ayacucho,Alvarez,M,60+,8532271,0.1452,1257,40.27,0.29,0.4559,0,0.1081
Piura,Acuña,M,26-40,950025,0.1754,1182,65.18,0.37,0.5715,1,0.1773
Pasco,López Aliaga,M,41-60,6042178,0.1444,712,42.17,0.68,0.5787,1,0.3131
Cajamarca,Fujimori,M,60+,5390524,0.1043,1001,56.78,0.41,0.5639,1,0.1365
Huánuco,López Aliaga,M,60+,5597818,0.1495,1128,79.54,0.65,0.7349,1,0.2103
Arequipa,López Aliaga,F,60+,2786522,0.0681,875,53.61,0.3,0.5047,1,0.1498
Ayacucho,Fujimori,F,60+,6732522,0.1499,1116,62.84,0.41,0.518,1,0.485
Apurímac,Fujimori,M,41-60,876085,0.1667,816,43.97,0.41,0.4708,0,0.3442
Junín,Alvarez,M,18-25,9553858,0.0736,1172,84.76,0.53,0.6578,1,0.4744
Cajamarca,Fujimori,M,41-60,9665657,0.1108,1109,87.87,0.73,0.7978,1,0.2237
Moquegua,López Aliaga,M,60+,9902055,0.1436,1163,74.6,0.32,0.5717,1,0.2798
Tumbes,Fujimori,F,60+,9721194,0.1488,918,41.42,0.6,0.5468,1,0.2989
Arequipa,Alvarez,M,60+,2469304,0.0529,988,87.39,0.21,0.5476,1,0.4296
San Martín,Fujimori,M,18-25,7890525,0.0938,759,86.29,0.74,0.7515,1,0.4461
Ayacucho,Acuña,M,60+,3735763,0.1147,752,66.33,0.62,0.6516,1,0.3037
Huancavelica,Vizcarra,F,60+,2057460,0.1393,1175,84.05,0.4,0.6551,1,0.2088
Huánuco,Fujimori,M,18-25,9097323,0.1623,798,41.16,0.52,0.5514,1,0.1017
Tacna,Fujimori,M,41-60,5174226,0.0753,723,71.29,0.53,0.675,1,0.1038
Junín,Fujimori,F,26-40,4158169,0.0919,942,82.22,0.52,0.6417,1,0.4774
Lambayeque,Vizcarra,F,26-40,6764415,0.0824,1250,64.28,0.53,0.5859,1,0.4065
Ucayali,Alvarez,F,41-60,2885547,0.1607,885,62.75,0.2,0.439,0,0.4604
Apurímac,Fujimori,M,18-25,1350050,0.1544,752,68.98,0.77,0.7468,1,0.1926
Huancavelica,López Aliaga,F,41-60,7704860,0.0746,821,78.47,0.41,0.6149,1,0.3122
Lambayeque,López Aliaga,F,41-60,3474638,0.0589,1027,62.87,0.6,0.6472,1,0.2184
Callao,Alvarez,F,26-40,3575566,0.1783,700,54.27,0.52,0.5451,1,0.3973
Moquegua,Alvarez,M,41-60,5010381,0.0551,764,47.28,0.39,0.4989,0,0.2382
Ayacucho,López Aliaga,F,41-60,2890692,0.1595,970,54.62,0.7,0.6414,1,0.2914
Tumbes,López Aliaga,M,60+,9868755,0.142,1257,81.86,0.78,0.8117,1,0.1343
San Martín,Alvarez,M,60+,3042611,0.1046,1233,85.48,0.34,0.6503,1,0.139
San Martín,Fujimori,M,41-60,2573201,0.0922,1035,57.64,0.31,0.4669,0,0.4341
Junín,Vizcarra,M,18-25,5570356,0.082,827,71.04,0.52,0.6599,1,0.1685
Callao,Vizcarra,M,60+,6475410,0.1455,908,84.44,0.64,0.702,1,0.4614
Apurímac,Alvarez,F,60+,7580670,0.0728,928,57.02,0.39,0.5435,1,0.2045
Arequipa,Alvarez,M,41-60,8528822,0.0563,1298,69.29,0.23,0.4907,0,0.3894
La Libertad,Vizcarra,F,26-40,5669897,0.1463,1079,58.91,0.77,0.6898,1,0.2678
Loreto,López Aliaga,M,60+,6157008,0.0726,1162,73.98,0.21,0.4892,0,0.4534
Tacna,Vizcarra,M,26-40,2736655,0.0546,1138,79,0.75,0.7199,1,0.4845
San Martín,Alvarez,M,18-25,6522906,0.1597,1233,57.77,0.45,0.5251,1,0.4328
Arequipa,Fujimori,F,18-25,5236334,0.1485,955,43.03,0.32,0.4416,0,0.2965
Piura,Alvarez,M,18-25,1647727,0.1253,867,75.66,0.24,0.5748,1,0.1135
Lima,Fujimori,M,26-40,2266784,0.1166,913,85.57,0.51,0.7126,1,0.1629
Tacna,Fujimori,M,41-60,8116105,0.0902,1181,53.99,0.4,0.5405,1,0.1874
Arequipa,López Aliaga,F,26-40,3309304,0.1639,1012,66.35,0.25,0.5099,1,0.2853
Huánuco,Vizcarra,F,18-25,6955045,0.0635,1154,52.63,0.51,0.5145,1,0.4918
Amazonas,Vizcarra,M,26-40,5728607,0.1214,727,52.43,0.51,0.593,1,0.1094
Ayacucho,Acuña,M,26-40,4154441,0.0592,768,57.39,0.79,0.6962,1,0.2416
Lima,Acuña,F,60+,7626445,0.0574,1042,66.93,0.42,0.6041,1,0.1588
Piura,Vizcarra,M,26-40,4484990,0.1071,1020,88.87,0.43,0.6474,1,0.3958
Pasco,Fujimori,F,18-25,8396008,0.0536,1179,84.6,0.63,0.7633,1,0.1427
Cusco,Alvarez,M,26-40,3974650,0.1514,979,66.27,0.77,0.7162,1,0.2924
Loreto,Acuña,M,18-25,1751738,0.0651,909,70.74,0.44,0.5842,1,0.3713
Pasco,Fujimori,M,26-40,3992306,0.1575,1210,86.33,0.45,0.645,1,0.3962
Tacna,Fujimori,F,41-60,9123206,0.071,887,72.19,0.69,0.6716,1,0.462
Callao,López Aliaga,F,18-25,8343547,0.1251,1116,85.94,0.55,0.67,1,0.4678
Tumbes,Vizcarra,M,18-25,2484931,0.1561,702,51.13,0.27,0.453,0,0.3004
Callao,Vizcarra,M,41-60,9663448,0.1057,937,51.93,0.66,0.5801,1,0.4491
Moquegua,Acuña,M,26-40,3481734,0.0622,928,69.63,0.44,0.5937,1,0.2985
Moquegua,Alvarez,M,41-60,5802638,0.075,1113,78.11,0.24,0.5073,1,0.499
Cusco,Vizcarra,M,41-60,9798505,0.1397,947,63.57,0.4,0.5721,1,0.2061
Ayacucho,Acuña,M,18-25,4157648,0.1045,910,89.22,0.55,0.6881,1,0.4399
Lambayeque,López Aliaga,F,26-40,3563902,0.1232,1007,77.15,0.58,0.6725,1,0.34
Ica,Acuña,M,41-60,7499100,0.159,839,64.03,0.59,0.6069,1,0.4176
Huancavelica,López Aliaga,M,60+,2221953,0.0693,1272,62.92,0.74,0.6756,1,0.3605
Cajamarca,Vizcarra,M,41-60,8564338,0.1446,1208,47.51,0.41,0.4886,0,0.3261
Apurímac,Vizcarra,M,18-25,3635423,0.1081,1194,56.16,0.21,0.4241,0,0.4188
Moquegua,Fujimori,M,60+,1094903,0.1148,837,75.12,0.66,0.7143,1,0.257
Junín,Fujimori,M,26-40,1239706,0.0948,707,56.25,0.54,0.5612,1,0.4061
Tumbes,Alvarez,M,26-40,6432186,0.1613,815,40.55,0.73,0.6288,1,0.13
Tumbes,Vizcarra,F,41-60,8222471,0.0667,1198,86.49,0.39,0.6669,1,0.1779
Lima,López Aliaga,M,60+,6175088,0.0666,871,45.61,0.72,0.5774,1,0.4722
Lima,Acuña,M,60+,3756327,0.0981,722,73.78,0.43,0.599,1,0.3324
Arequipa,Vizcarra,F,26-40,6099416,0.1415,1110,88.03,0.67,0.7903,1,0.1583
Tacna,Vizcarra,F,18-25,4683762,0.1118,797,59.98,0.63,0.5969,1,0.4812
Ayacucho,Fujimori,F,26-40,9078691,0.1116,1115,61.08,0.37,0.5,1,0.458
Tumbes,Acuña,F,18-25,8326238,0.1506,1007,54.82,0.61,0.5865,1,0.3815
Ayacucho,Fujimori,F,60+,1813120,0.0606,836,73.51,0.48,0.6317,1,0.2754
Cajamarca,Acuña,F,60+,1441144,0.1696,873,75.63,0.37,0.5908,1,0.3066
Huánuco,Alvarez,F,26-40,1202507,0.178,850,54.59,0.71,0.6021,1,0.499
Junín,Vizcarra,F,41-60,8631767,0.0915,1285,54.17,0.72,0.6495,1,0.2687
La Libertad,Acuña,M,41-60,3598526,0.0799,813,66.01,0.45,0.5987,1,0.218
Junín,Alvarez,M,26-40,6726777,0.0806,816,69.98,0.71,0.7126,1,0.2635
Piura,Vizcarra,M,18-25,5749236,0.0735,1292,49.8,0.74,0.6026,1,0.4725
Arequipa,Alvarez,M,60+,2433339,0.0657,828,41.67,0.42,0.487,0,0.2351
Áncash,Vizcarra,M,18-25,7192588,0.1263,859,59.85,0.73,0.7026,1,0.144
Ica,Vizcarra,F,60+,7020906,0.1052,1063,77.73,0.7,0.6942,1,0.4917
Puno,Acuña,M,60+,7397980,0.0926,1099,50.28,0.37,0.4941,0,0.2717
Moquegua,López Aliaga,F,18-25,9904012,0.0533,1109,43.27,0.62,0.5585,1,0.3155
Moquegua,López Aliaga,M,41-60,9085051,0.1115,854,62.16,0.5,0.5935,1,0.2737
Lima,López Aliaga,M,41-60,872207,0.1439,1256,69.87,0.59,0.6476,1,0.3313
Callao,Vizcarra,M,18-25,3448940,0.1174,810,59.84,0.54,0.6017,1,0.2608
Áncash,López Aliaga,M,60+,6088756,0.1301,1049,80.75,0.47,0.6612,1,0.2517
Huancavelica,Acuña,M,60+,7186061,0.0537,721,83.85,0.56,0.6761,1,0.426
Lima,Acuña,M,60+,7825383,0.168,1060,44.59,0.4,0.4611,0,0.3836
Pasco,Acuña,F,41-60,6745370,0.0655,1148,87.3,0.46,0.6978,1,0.1779
Cajamarca,López Aliaga,F,41-60,1929695,0.0614,1216,56.94,0.29,0.4754,0,0.3418
Moquegua,Vizcarra,F,18-25,7648545,0.1087,995,88.31,0.28,0.5856,1,0.4019
Apurímac,Acuña,F,26-40,5633142,0.0964,1049,53.54,0.6,0.6305,1,0.1191
Lima,Vizcarra,F,41-60,9249441,0.1723,1147,48.53,0.42,0.5269,1,0.1799
Ucayali,Fujimori,M,41-60,2992397,0.0799,1037,87.28,0.71,0.7768,1,0.2761
Áncash,López Aliaga,F,18-25,8792139,0.1139,754,50,0.64,0.5921,1,0.3106
La Libertad,Vizcarra,M,18-25,3114472,0.0608,1216,66.52,0.33,0.5504,1,0.2359
Piura,Vizcarra,F,26-40,1122555,0.0684,787,76.79,0.59,0.6444,1,0.4885
Amazonas,Acuña,F,26-40,7722581,0.126,948,85.59,0.74,0.8078,1,0.1606
Apurímac,Fujimori,F,26-40,4709321,0.1149,1230,44.79,0.43,0.4561,0,0.4728
Amazonas,Alvarez,M,18-25,3950030,0.1686,945,59.41,0.51,0.5837,1,0.287
Ayacucho,Alvarez,F,18-25,6089655,0.1529,879,61.65,0.21,0.5074,1,0.124
San Martín,Vizcarra,F,41-60,4786017,0.1682,1268,70.22,0.72,0.7274,1,0.2055
Amazonas,Fujimori,F,41-60,1351442,0.0972,715,58.17,0.39,0.5231,1,0.3188
Callao,Vizcarra,F,41-60,3854621,0.1202,1109,58.62,0.54,0.5944,1,0.2832
Ayacucho,Fujimori,F,41-60,8800366,0.1403,734,81.01,0.74,0.7919,1,0.1425
Ayacucho,López Aliaga,M,41-60,2785512,0.1064,1058,58.27,0.63,0.6471,1,0.1889
Loreto,López Aliaga,M,60+,7234524,0.0992,1265,54.56,0.67,0.6383,1,0.2326
Puno,Fujimori,F,18-25,9713619,0.0887,1223,71.18,0.64,0.7159,1,0.1157
Ayacucho,Vizcarra,M,26-40,3819338,0.1151,827,75.69,0.23,0.5147,1,0.4041
Piura,Vizcarra,F,60+,4283126,0.0962,1221,64.45,0.67,0.6943,1,0.1665
Tumbes,Acuña,M,41-60,4700270,0.1704,1293,55.95,0.31,0.4753,0,0.3551
San Martín,Alvarez,F,18-25,4706358,0.1152,705,72.45,0.77,0.7145,1,0.4243
Loreto,Vizcarra,M,18-25,9103121,0.1257,1018,45.13,0.64,0.6127,1,0.1172
Apurímac,López Aliaga,M,41-60,8004135,0.1464,767,84.34,0.33,0.5718,1,0.4955
Callao,Vizcarra,M,26-40,5026852,0.1118,731,84.55,0.59,0.7133,1,0.2988
Áncash,Alvarez,F,18-25,1000802,0.051,970,49.51,0.73,0.6593,1,0.1581
Huánuco,López Aliaga,M,18-25,7941772,0.0571,735,72.94,0.41,0.5628,1,0.4704
Tacna,Fujimori,F,60+,3825136,0.1525,1257,61.69,0.46,0.5971,1,0.1681
Áncash,Acuña,F,18-25,3022525,0.1442,781,70.37,0.65,0.6606,1,0.3999
Junín,Vizcarra,M,18-25,5526494,0.1251,1213,76.38,0.73,0.7041,1,0.4624
La Libertad,López Aliaga,M,41-60,9783630,0.1114,1146,50.67,0.65,0.6327,1,0.1563
Áncash,López Aliaga,M,18-25,9608469,0.162,1102,71.29,0.44,0.6259,1,0.1748
Lima,Vizcarra,M,60+,8227207,0.1235,951,86.1,0.22,0.5916,1,0.2119
Madre de Dios,Fujimori,F,60+,5988243,0.1399,958,72.97,0.21,0.5178,1,0.2869
Apurímac,Vizcarra,F,18-25,7950896,0.1778,1221,54.64,0.26,0.4663,0,0.272
Callao,Fujimori,F,26-40,1202243,0.1374,1188,58.86,0.58,0.5846,1,0.4116
Callao,Vizcarra,M,41-60,7151299,0.084,989,67.46,0.57,0.6566,1,0.2097
Puno,Fujimori,M,41-60,4446910,0.1354,741,56.57,0.6,0.5715,1,0.4751
Amazonas,Vizcarra,M,18-25,7431065,0.1204,750,83.54,0.41,0.6444,1,0.2692
Tacna,López Aliaga,M,41-60,1945004,0.0553,1021,68.18,0.27,0.5367,1,0.2261
Arequipa,Alvarez,F,26-40,1335929,0.1346,994,44.55,0.55,0.565,1,0.1589
Lambayeque,Vizcarra,M,60+,7068372,0.0715,805,79.07,0.7,0.6959,1,0.4978
Junín,López Aliaga,F,18-25,2982632,0.0725,1259,63.97,0.24,0.4806,0,0.3483
Ica,Fujimori,M,26-40,9872996,0.1548,1294,41.33,0.59,0.5767,1,0.1315
Apurímac,Vizcarra,M,26-40,5157990,0.1264,1236,54.55,0.34,0.5219,1,0.1568
Moquegua,López Aliaga,F,41-60,9023908,0.0734,918,84.84,0.79,0.8065,1,0.2535
Huánuco,Alvarez,M,18-25,7075813,0.1064,993,78.59,0.67,0.7433,1,0.1922
Tacna,López Aliaga,M,26-40,2361119,0.056,1190,81.9,0.74,0.7811,1,0.219
Amazonas,Vizcarra,M,26-40,7620552,0.1042,1234,73.25,0.33,0.5748,1,0.2428
Tacna,Alvarez,M,26-40,9633652,0.1364,1216,78.27,0.56,0.6961,1,0.1958
Lima,Fujimori,F,60+,7528804,0.0786,1060,70.81,0.68,0.7252,1,0.1556
Tacna,Acuña,M,18-25,9767384,0.1573,1169,44.71,0.51,0.5281,1,0.2774
Ayacucho,Acuña,F,41-60,2403262,0.1053,984,41.78,0.73,0.6274,1,0.1654
Arequipa,Vizcarra,M,60+,7809235,0.1102,866,85.48,0.46,0.6539,1,0.3519
Amazonas,Acuña,M,18-25,9477182,0.0796,765,77.37,0.3,0.5905,1,0.1986
Junín,Fujimori,M,41-60,8973825,0.1622,1287,84.23,0.7,0.7264,1,0.4459
Madre de Dios,Acuña,M,18-25,9152500,0.1521,949,56.29,0.69,0.6487,1,0.2607
Áncash,López Aliaga,M,41-60,1951219,0.0674,938,59.27,0.31,0.5196,1,0.2059
Madre de Dios,López Aliaga,F,41-60,2871963,0.1773,944,48.75,0.65,0.5886,1,0.3357
Arequipa,Alvarez,M,18-25,8056963,0.1537,911,51.43,0.29,0.4532,0,0.3492
Lambayeque,Vizcarra,M,60+,6163998,0.1672,1036,86.9,0.49,0.6993,1,0.2195
Tacna,Acuña,F,26-40,9052234,0.1762,972,68.28,0.28,0.5321,1,0.2624
San Martín,Fujimori,F,18-25,9592178,0.0942,975,65.85,0.55,0.5936,1,0.4558
Arequipa,Acuña,M,26-40,7794683,0.1418,762,75.33,0.78,0.7652,1,0.2386
Tacna,López Aliaga,F,41-60,8448397,0.1761,1075,68.19,0.68,0.6638,1,0.3968
Loreto,Vizcarra,F,26-40,7780042,0.1281,1112,51.8,0.39,0.4942,0,0.3493
Puno,Alvarez,F,41-60,8276747,0.1624,1045,41.31,0.75,0.6194,1,0.2223
Junín,López Aliaga,M,26-40,980482,0.0857,786,47.65,0.77,0.6701,1,0.136
Ucayali,Acuña,F,60+,3712780,0.0999,899,75.15,0.78,0.7791,1,0.1609
Apurímac,Acuña,M,26-40,3246356,0.1753,1046,79.76,0.44,0.6382,1,0.2933
Loreto,Fujimori,F,60+,2438362,0.0651,1151,49.7,0.41,0.5263,1,0.1753
Amazonas,Alvarez,F,26-40,5938841,0.089,1228,88.36,0.37,0.6656,1,0.1854
Ayacucho,Fujimori,F,60+,2264310,0.1012,864,78.7,0.74,0.7438,1,0.3409
Pasco,Vizcarra,M,18-25,835931,0.0827,1060,80.13,0.68,0.7448,1,0.234
Amazonas,Alvarez,F,18-25,4629330,0.0894,1051,57.68,0.57,0.5988,1,0.2962
Áncash,Fujimori,F,26-40,2389925,0.1579,984,53.73,0.53,0.5584,1,0.346
Ica,López Aliaga,F,60+,5926845,0.1758,840,83.85,0.37,0.6222,1,0.3029
Cajamarca,Acuña,M,41-60,4278879,0.1434,945,77.09,0.37,0.6294,1,0.1295
Ica,Acuña,M,41-60,1799589,0.1446,733,84.95,0.71,0.787,1,0.1874
Áncash,Alvarez,M,41-60,5951985,0.1238,944,84.42,0.34,0.6444,1,0.1444
Moquegua,López Aliaga,M,41-60,4173321,0.177,1219,89.77,0.6,0.7051,1,0.473
Junín,Alvarez,F,60+,2299624,0.0707,1201,56.7,0.66,0.6523,1,0.1932
Cajamarca,Vizcarra,M,41-60,9956031,0.136,1037,79.31,0.55,0.6502,1,0.4334
Ucayali,Acuña,M,18-25,3114117,0.1402,1217,73.58,0.48,0.6363,1,0.2507
Áncash,Fujimori,M,18-25,7618512,0.1092,741,66.92,0.58,0.6034,1,0.4829
Callao,Alvarez,F,41-60,3963939,0.0534,841,48.84,0.27,0.4178,0,0.4204
Madre de Dios,Alvarez,M,41-60,2073471,0.1364,1040,55.27,0.36,0.4801,0,0.4255
Ica,Vizcarra,M,18-25,1827035,0.1202,1083,63.14,0.5,0.617,1,0.1814
Cusco,Vizcarra,M,26-40,6340182,0.1735,1060,54.22,0.25,0.4303,0,0.4305
La Libertad,Acuña,M,26-40,5195183,0.0664,938,78.91,0.39,0.6426,1,0.1539
Apurímac,Alvarez,F,18-25,3558950,0.1687,1141,69.59,0.33,0.573,1,0.188
Cajamarca,López Aliaga,F,41-60,7169647,0.1524,1185,50.01,0.39,0.5323,1,0.1246
Tacna,López Aliaga,F,26-40,9013140,0.0644,900,69.53,0.64,0.7074,1,0.1283
La Libertad,Acuña,F,26-40,9923309,0.0709,966,81.83,0.59,0.7183,1,0.2329
Madre de Dios,Vizcarra,F,26-40,2304316,0.0683,1045,76.37,0.67,0.6839,1,0.4411
Piura,López Aliaga,F,60+,9548070,0.1624,1242,41.28,0.6,0.538,1,0.3407
Apurímac,Fujimori,M,60+,1056803,0.1648,1069,46.51,0.71,0.5935,1,0.3897
Cusco,Vizcarra,F,18-25,9123014,0.1023,942,62.06,0.5,0.5736,1,0.3648
Amazonas,Fujimori,M,60+,5333157,0.1588,769,59.36,0.52,0.5897,1,0.2735
Huancavelica,López Aliaga,F,18-25,9994431,0.0818,714,46.68,0.27,0.4023,0,0.453
Callao,Fujimori,F,26-40,1663376,0.0517,821,55.31,0.24,0.4708,0,0.2265
Lambayeque,López Aliaga,F,41-60,5363439,0.174,1179,89.27,0.5,0.6663,1,0.4459
Amazonas,Fujimori,M,26-40,7864360,0.122,878,81.21,0.79,0.7636,1,0.3897
Callao,López Aliaga,F,60+,4811475,0.1568,946,89.35,0.48,0.703,1,0.2287
La Libertad,Fujimori,F,18-25,3313686,0.1674,991,85.49,0.74,0.752,1,0.428
Lambayeque,Acuña,F,18-25,6896938,0.0531,1160,45.84,0.75,0.611,1,0.3655
Lambayeque,Fujimori,F,41-60,1178945,0.0685,1087,84.23,0.4,0.6223,1,0.3795
Apurímac,Vizcarra,F,18-25,6766882,0.174,1142,71.79,0.56,0.6107,1,0.499
Arequipa,Alvarez,F,18-25,8302214,0.0555,1115,64.26,0.68,0.6634,1,0.3241
Huancavelica,Vizcarra,F,18-25,4782077,0.1547,704,86.84,0.24,0.6014,1,0.2112
Apurímac,López Aliaga,M,26-40,889643,0.1476,843,73.63,0.21,0.5527,1,0.1235
Ucayali,López Aliaga,M,60+,7554896,0.0558,1266,47.97,0.77,0.6235,1,0.391
Cajamarca,Alvarez,M,18-25,6199377,0.0687,1015,60.22,0.22,0.4915,0,0.1867
Ucayali,Alvarez,M,26-40,839102,0.0614,1274,45.79,0.77,0.6171,1,0.3704
Apurímac,Fujimori,M,41-60,3253612,0.1073,802,52.02,0.46,0.5016,1,0.4491
Madre de Dios,López Aliaga,F,18-25,2331583,0.1326,1233,73.21,0.75,0.711,1,0.3998
Piura,Acuña,M,26-40,6512923,0.0676,797,41.94,0.35,0.456,0,0.2513
Apurímac,Vizcarra,F,41-60,7877676,0.0858,1155,73.98,0.62,0.6575,1,0.4394
Apurímac,Acuña,M,41-60,3115963,0.159,736,69.69,0.27,0.5415,1,0.2251
Madre de Dios,Fujimori,F,18-25,3789475,0.0556,1019,79.7,0.59,0.6693,1,0.4208
Cajamarca,Fujimori,M,18-25,4467000,0.0892,1157,89.89,0.66,0.7535,1,0.3405
Cusco,Alvarez,F,26-40,7470384,0.1458,1125,53.9,0.78,0.6272,1,0.4952
Tumbes,Acuña,F,41-60,7929342,0.1347,704,48.45,0.67,0.6028,1,0.3017
Ica,Alvarez,M,41-60,9050871,0.0622,1066,55.14,0.63,0.5996,1,0.363
Pasco,Alvarez,M,26-40,3847327,0.1379,877,58.31,0.71,0.6172,1,0.4913
Ucayali,Fujimori,M,18-25,1743250,0.0751,1157,77.61,0.69,0.7561,1,0.1445
La Libertad,López Aliaga,F,60+,5054031,0.1531,1145,67.3,0.55,0.6046,1,0.4199
Madre de Dios,Acuña,F,26-40,7465700,0.1089,994,46.18,0.59,0.5556,1,0.3228
Piura,Alvarez,M,26-40,5189974,0.1764,1105,47.11,0.73,0.6361,1,0.2315
Puno,Alvarez,M,18-25,6743588,0.0987,1076,46.67,0.47,0.506,1,0.3395
Tumbes,López Aliaga,M,60+,8887862,0.1079,1020,53.23,0.74,0.6797,1,0.1384
Puno,Alvarez,M,26-40,9313553,0.127,704,78.42,0.79,0.736,1,0.4644
Arequipa,Fujimori,F,60+,1659022,0.0776,1160,70.2,0.77,0.7411,1,0.2439
Pasco,Vizcarra,M,60+,6009068,0.128,1057,48.08,0.24,0.4017,0,0.4269
Ucayali,López Aliaga,M,18-25,7923257,0.1254,727,55.98,0.78,0.665,1,0.3449
Amazonas,Alvarez,M,26-40,3308839,0.0633,1074,76.48,0.52,0.6575,1,0.2749
Cajamarca,Alvarez,M,60+,4296438,0.1301,978,82.36,0.43,0.6602,1,0.2035
Huánuco,Alvarez,F,18-25,9966682,0.1722,811,52.52,0.52,0.5961,1,0.1088
Loreto,Vizcarra,M,60+,9257736,0.1345,884,68.49,0.24,0.5373,1,0.1635
Cajamarca,Alvarez,F,26-40,5661083,0.1463,1232,85.88,0.72,0.7314,1,0.4978
Tacna,Alvarez,F,41-60,8821640,0.0808,954,87.93,0.47,0.6767,1,0.3079
Apurímac,López Aliaga,M,18-25,5821273,0.1127,729,55.74,0.26,0.4317,0,0.4713
Junín,Vizcarra,M,18-25,8452542,0.1088,875,77.39,0.38,0.625,1,0.1852
Ica,Fujimori,M,18-25,3907134,0.0868,810,72.61,0.59,0.7001,1,0.1294
Callao,López Aliaga,F,18-25,3715456,0.0908,723,79.77,0.51,0.6969,1,0.1364
Tumbes,Vizcarra,M,60+,5071114,0.1071,781,53.75,0.77,0.6713,1,0.251
Junín,Fujimori,F,41-60,4905726,0.0884,1292,45.85,0.35,0.4742,0,0.2549
Tacna,López Aliaga,M,18-25,8214247,0.0582,1048,52.88,0.5,0.5225,1,0.4441
Moquegua,Fujimori,M,60+,2683216,0.0899,852,89.37,0.61,0.7566,1,0.222
Huánuco,Vizcarra,F,41-60,3862098,0.1667,778,49.92,0.25,0.4475,0,0.2623
